#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth
0 17  13  t 0 0 0 0 HF  29  1  1
0 17  13  t 0 0 0 1 HF  30  1  1
0 17  13  t 0 0 0 2 HF  31  1  1
0 17  13  t 0 0 1 0 HF  32  1  1
0 17  13  t 0 0 1 1 HF  33  1  1
0 17  13  t 0 0 1 2 HF  34  1  1
0 17  13  t 0 0 2 0 HF  35  1  1
0 17  13  t 0 0 2 1 HF  36  1  1
0 17  13  t 0 0 2 2 HF  37  1  1
0 17  13  t 0 0 3 0 HF  38  1  1
0 17  13  t 0 0 3 1 HF  39  1  1
0 17  13  t 0 0 3 2 HF  29  1  2
0 17  13  t 0 0 4 0 HF  30  1  2
0 17  13  t 0 0 4 1 HF  31  1  2
0 17  13  t 0 0 4 2 HF  32  1  2
0 17  13  t 0 0 5 0 HF  33  1  2
0 17  13  t 0 0 5 1 HF  34  1  2
0 17  13  t 0 0 5 2 HF  35  1  2
0 17  13  t 0 0 6 0 HF  36  1  2
0 17  13  t 0 0 6 1 HF  37  1  2
0 17  13  t 0 0 6 2 HF  38  1  2
0 17  13  t 0 0 7 0 HF  39  1  2
0 17  13  t 0 0 7 1 HF  38  1  2
0 17  13  t 0 0 7 2 HF  39  1  1
0 17  13  b 0 1 0 0 HF  29  3  1
0 17  13  b 0 1 0 1 HF  30  3  1
0 17  13  b 0 1 0 2 HF  31  3  1
0 17  13  b 0 1 1 0 HF  32  3  1
0 17  13  b 0 1 1 1 HF  33  3  1
0 17  13  b 0 1 1 2 HF  34  3  1
0 17  13  b 0 1 2 0 HF  35  3  1
0 17  13  b 0 1 2 1 HF  36  3  1
0 17  13  b 0 1 2 2 HF  37  3  1
0 17  13  b 0 1 3 0 HF  38  3  1
0 17  13  b 0 1 3 1 HF  39  3  1
0 17  13  b 0 1 3 2 HF  29  3  2
0 17  13  b 0 1 4 0 HF  30  3  2
0 17  13  b 0 1 4 1 HF  31  3  2
0 17  13  b 0 1 4 2 HF  32  3  2
0 17  13  b 0 1 5 0 HF  33  3  2
0 17  13  b 0 1 5 1 HF  34  3  2
0 17  13  b 0 1 5 2 HF  35  3  2
0 17  13  b 0 1 6 0 HF  36  3  2
0 17  13  b 0 1 6 1 HF  37  3  2
0 17  13  b 0 1 6 2 HF  38  3  2
0 17  13  b 0 1 7 0 HF  39  3  2
0 17  13  b 0 1 7 1 HF  29  5  1
0 17  13  b 0 1 7 2 HF  30  5  1
